author_name,email,affiliation,coauthors_names,is_artificial_intelligence
Andrew Phillips,microsoft.com,nan,Neil Dalchau##Luca Cardelli##Matthew Lakin##Boyan Yordanov##Georg Seelig##Jim Haseloff##Rasmus Lerchedahl Petersen##Alistair Bailey##tim rudge##David Soloveichik##Niranjan Srinivas##Yuan-Jyue Chen##Ozan Kahramanogullari##Fernán Federici Noe##Harish Chandran##John Reif##Nikhil Gopalkrishnan##Susan Eisenbach##David Parker##Marta Kwiatkowska,no
Jason S. McLellan,austin.utexas.edu,nan,nan,no
Soo Young Rieh,ischool.utexas.edu,University of Texas at Austin,Karen Markey##Beth St. Jean##Elizabeth Yakel##Yong-Mi Kim##Ji-Yeon Yang##Brian Hilligoss##Nicholas Belkin##Preben Hansen##Grace YoungJoo Jeon##Kevyn Collins-Thompson##Bernard J. (Jim) Jansen##Iris Xie##Carl C. Haynes-Magyar##Rohail Syed##Luanne (Freund) Sinnamon##Jacek Gwizdka##Cliff Lampe##Sangseok You##Lionel P. Robert Jr.,no
Tim Leung,uw.edu,nan,Xin Li##Yamazaki Kazutoshi##Zheng Wang##Brian Ward##Matthew Lorig##Mike Ludkovski##Aleksandr Aravkin##Olympia Hadjiliadis##Bahman Angoshtari##Andrea Pascucci##Qingshuo Song##Jie Yang##Carey E. Priebe##Hongzhong Zhang##JB (Jinbeom) Kim,no
Aboubakr Aqle,hbku.edu.qa,nan,Dena Al Thani##Kamran Khowaja Ph.D.##Ali Jaoua##Bilikis Banire##ASADULLAH SHAH .##Mohammed Tahri Sqalli##Eman Rezk##Abdelaziz Bouras##Gautam Das##Fahad Islam,no
Chi Zhang,bjut.edu.cn,nan,nan,no
Duminda Wijesekera,gmu.edu,George mason University,Sushil Jajodia##Lingyu Wang##Paulo Costa##Paul Ammann##Jaideep Srivastava##James Bret Michael##Csilla Farkas##Changwei Liu##Haining Wang##Naren Kodali,no
Jinwoo Shin,kaist.ac.kr,KAIST,nan,yes
C. Lawrence Zitnick,fb.com,nan,Sing Bing Kang##Richard Szeliski##Devi Parikh##Piotr Dollár##Simon Winder##Matt Uyttendaele##Dhruv Batra##Ross Girshick##Tsung-Yi Lin##Deva Ramanan##Michael Maire##James Hays##Margaret Mitchell##Serge Belongie##Pietro Perona##Michael F Cohen##Neel Joshi##Ramakrishna Vedantam##Stanislaw Antol##Takeo Kanade,yes
Anna Corazza,unina.it,Università degli Studi di Napoli Federico II,Sergio Di Martino##Giorgio Satta##Giuseppe Scanniello##Alberto Lavelli##Mauro Cettolo##Anita Alicante##Carmine Gravino##Emilia Mendes##Francesco Isgrò##Federica Sarro##Cristina Bosco##Daniele Giuseppe Falavigna##Fabio Pianesi##alessandro mazzei##Emanuele Pianta##Firoj Alam PhD##Massimo Benerecetti##Giuseppe Attardi##Maria Simi##Paolo Tonella,no
Dohyun Ahn,socialbrain.kr,nan,nan,no
Jeremy Ernst,erau.edu,Embry-Riddle Aeronautical University,nan,no
Marcus Johnson,nasa.gov,nan,Warren Dixon##Joseph Rios##Shubhendu Bhasin##John Edward Robinson III##Rushikesh Kamalapurkar##F.L. Lewis##Kyriakos G. Vamvoudakis##Nitin Sharma##Parag Patre##Chris Gregory##William MacKunis##Nhan Nguyen##Michael Abramson##Ganesh J. Pai##Guoqiang Hu##Douglas R. Isaacson,no
Yuxuan Zhao,ia.ac.cn,Institute of Automation Chinese Academy of Sciences,nan,yes
santa maiti,student.unimelb.edu.au,University of Melbourne,Stephan Winter##Lars Kulik##Arpan Pal##Tanushyam Chattopadhyay (T. Chatto...##Arindam Pal##Debasis Samanta##Arijit Mukherjee##Avik Ghose##Monalisa Sarma##Plaban Kumar Bhowmik##Manoj Kumar Sharma##Sayan Sarcar##Somnath Dey,yes
Dipanjan Chakraborty,in.ibm.com,nan,Anupam Joshi##Koustuv Dasgupta##Karl Aberer##Tim Finin##Nilanjan Banerjee##Sougata Mukherjea##Zhixian Yan##Arun Kumar##Nitendra Rajput##Deva P. Seetharam##Balaji Viswanathan##Arkady Zaslavsky##Saket Sathe##Hui Lei##Tanuja Ganu##Vinayak Naik##Thanasis Papaioannou##Pradipta De##Alcherio Martinoli##Lothar Thiele,no
David Mimno,cornell.edu,Cornell University,nan,yes
Matthias Hauswirth,usi.ch,USI,Amer Diwan##Peter F Sweeney##Todd Mytkowicz##Michael Hind##Mohammad R. Azadmanesh##David Grove##Nathaniel Nystrom##Augusto Born de Oliveira##Michael Mozer##Michele Lanza##Andrea Mocci##Luca Ponzanelli##David F. Bacon##V. T. Rajan##Calin Cascaval##Reza Azimi##Robert Wisniewski##Evelyn Duesterwald##Dmitri Makarov##Richard Jones,no
Lili Meng,cs.ubc.ca,University of British Columbia,Frederick Tung##Bo Chang##James Little##Bo Zhao##Leonid Sigal##Eldad Haber##Jianhui Chen##Max Q.-H. Meng##Chaoqun Wang##Weidong Yin##Julien Valentin##Ian Mitchell##Gao Huang （黄高）##Greg Mori##Zhiwei Deng##Megha Nawhal##Ricky Tian Qi Chen##Zicong Fan##Qiong Zhang,yes
Xiaofeng Wang,unibz.it,Free University of Bozen-Bolzano,Pekka Abrahamsson##Kieran Conboy##Daniel Graziotin##Richard Vidgen##Anh Nguyen-Duc##Oisin Cawley##Minna Pikkarainen##Sohaib Shahid Bajwa##Henry Edison##Nattakarn Phaphoom##Ita Richardson##Carmine Giardino##Rafael Prikladnicki##Fabian Fagerholm##Rafael Chanin##Sven Helmer##Brian Fitzgerald##Carlos Solis##Juan Garbajosa##Sharon Coyle,no
Claudia Diamantini,univpm.it,Università Politecnica delle Marche,Domenico Potena##Emanuele Storti##Laura Genga##Alex Mircoli##Arnaldo Spalvieri##sauro longhi##Adriano Mancini##Nicola Zannone##Barbara Re##Emanuele Frontoni##Luca Spalazzi##Wil van der Aalst##Hervé Panetto##Nadia Bianchi-Berthouze##Benjamin Knoke##Farhad Arbab,no
Ron Tamborini,msu.edu,Michigan State University,nan,no
Julie M. Birkholz,ugent.be,University Ghent,Shenghui Wang 王胜惠##Christine Moser##Dirk Deichmann##Peter Groenewegen##Sandra Hasanefendic##Hugo Horta##Peter van der Sijde##Sven Lieber##Rena Bakhshi##Maarten van Steen##Adina Nerghes##Eveline Vlassenroot##Max Kemman##James Baker##Thorsten Ries##Kim Holmberg##Paul Groth##Sara Magliacane##Martina Vukasovic##Anastasia Dimou,no
flavien balbo,emse.fr,Ecole Nationale Supérieure des Mines de Saint-Etienne,Julien Saunier,no
Rafael de Hoyos,worldbank.org,World Bank,Leonardo Iacovone##Vicente Garcia-Moreno,no
Richard Medina,hawaii.edu,University of Hawaii,nan,no
Reza Sameni,dbmi.emory.edu,Emory University,Christian Jutten##Gari Clifford##Mohammad B. SHAMSOLLAHI##Cédric Gouy-Pailler##Shamim Nemati##Saeid Sanei##Jonathon A Chambers##Jens Haueisen##Michel Verleysen##Frédéric Vrins##Hamed Hassani Saadi##Hamid Soltanian-Zadeh##Ashkan Sami##Mohammad Niknazar##Marco Congedo##Lotfi Senhadji##Omid Sayadi,no
Byrav Ramamurthy,cse.unl.edu,University of Nebraska-Lincoln,nan,no
Loïc Miller,unistra.fr,University of Strasbourg,nan,no
Carol Hsu,sydney.edu.au,University of Sydney,Tawei (David) Wang PhD CPA CIA##Leiser Silva##João Baptista (John)##Detmar Straub##Xin (Robert) Luo##Robert D Galliers##Jimmy Huang##Allen S. Lee##Suprateek Sarker##Niki Panteli##Sia Siew Kien##Jeffrey C.F. Tai,no
Ke Yang,qmul.ac.uk,Queen mary university of london,nan,no
Laura Slaughter,idi.ntnu.no,nan,nan,no
Scott E Page,umich.edu,U Michigan,nan,no
Brendan Murphy,microsoft.com,nan,Nachiappan Nagappan##Thomas Zimmermann##Christian Bird##Laurie Williams##Kim Herzig##Jacek Czerwonka,no
Brock Wester,jhuapl.edu,Johns Hopkins University,Matthew Fifer##Matthew S Johannes##David P McMullen##Kapil Katyal##Nathan E. Crone M.D.##Guy Hotson##William Stanley Anderson##Robert S Armiger##Nitish Thakor##Matthew Para##Francesco Tenore##R. Jacob Vogelstein##Mark G. Allen##William R. Gray-Roncal Ph.D.##Jordan Matelsky##Sliman Bensmaia##Andrew C Merkle##Michelle C. LaPlaca##Luke Osborn##Pablo Celnik,no
Sergio Verdu,princeton.edu,Princeton University,nan,no
David Grove,us.ibm.com,nan,Stephen Fink##Michael Hind##Jeff Dean##David F. Bacon##Vijay Saraswat##Matthew Arnold##Peter F Sweeney##Vivek Sarkar##Mikio Takeuchi##Steve Blackburn##Jong-Deok Choi##Kiyokuni Kawachiya##Martin Vechev##Josh Milthorpe##Julian Dolby##Kathryn S McKinley##Matthias Hauswirth##Mandana Vaziri##Sorin Lerner,no
Miltiadis Allamanis,allamanis.com,nan,Charles Sutton##Marc Brockschmidt##Earl T. Barr##Christian Bird##Prem  Devanbu##Oleksandr Polozov##Patrick Fernandes##Alexey Svyatkovskiy##Daya Guo,yes
Nuno Vasconcelos,ece.ucsd.edu,University of California San Diego,Antoni B. Chan##Vijay Mahadevan##Nikhil Rasiwasia##Zhaowei Cai##Dashan Gao##Pedro Moreno##Mohammad Saberian##Gustavo Carneiro##Hamed Masnadi-Shirazi##Mandar Dixit##Roland Kwitt##Bo Liu##Gert Lanckriet##Pedro Morgado##Yunsheng Li##Jose Costa Pereira##Emanuele Coviello##Roger Levy##Gabriel Doyle##Rogerio Feris,yes
Gail McMillan,vt.edu,Virginia Tech,nan,no
Garrett B. Goh,microsoft.com,nan,Charles L. Brooks III##Elena N Laricheva##Alex Dickson##Jun-Seok Lee##Young-Tae Chang##Nils G Walter##Afra Panahi,yes
Huseyin Arslan,medipol.edu.tr,Istanbul Medipol University,Alphan Şahin##Hasari Celebi##Jehad M. Hamamreh##Mustafa Emin Sahin##Khalid Qaraqe##Mehmet Kemal Ozdemir##Z. Esat Ankarali Ph.D.##HAJI MUHAMMAD FURQAN AHMED...##Serhan Yarkan##Ali Görçin##Ertugrul Guvenkaya##Berker Peköz##Ali Fatih Demir##M. Cenk Erturk##Ercument Arvas##Sinan Gezici##Hakan Ali Çırpan##Erchin Serpedin PhD##Hasan Basri Çelebi##Anas Tom,no
Rudi Studer,kit.edu,Karlsruhe Institute of Technology,Dieter Fensel##Steffen Staab##York Sure-Vetter##Michael Erdmann##Stefan Decker##Alexander Maedche##Raphael Volz##V. Richard Benjamins##Boris Motik##Daniel Oberle##Frank van Harmelen##Enrico Motta##Peter Haase##John Davies##Pascal Hitzler##Denny Vrandečić##Andreas Abecker##Philipp Cimiano##Andreas Hotho##Gerd Stumme,no
Teodoro CORDOVA.    ORCID: 0000-0002-6486-7530 RrcherID_I-9356-201730   ScID_6506905989,fisica.ugto.mx,nan,Modesto Sosa##Jesus Bernal Alvarado##Gómez Aguilar José Francisco##Francisco Miguel Vargas Luna##Dr. José María De la Roca Chiapas##Rafael Guzman Cabrera##Maria Raquel Huerta Franco##Mario Eduardo Cano Gonzalez##Juan Carlos Martinez Espinosa##Oswaldo Baffa##Enedino Hernández Torres##Dr. J. Juan Rosales García##Nicolás Padilla Raygoza FRSPH##Draulio Barros de Araujo##Antonio Adilton Carneiro##N. A. Chequer##Carlos Herman Wiechers Medina##Manuel Guía Calderón##Jorge Elias Jr##Francisco Mesa Linares,no
Dan Witzner Hansen,itu.dk,IT University of Copenhagen,John Paulin Hansen##Diako Mardanbegi##Henrik Skovsgaard##Qiang Ji##Emilie Møllenbach##Päivi Majaranta##Rasmus Larsen##Mads Nielsen##Martin Tall##Riad I. Hammoud##Thomas Pederson##Fiona Mulvey##Maria Barrett##Fabricio Batista Narcizo##Alexandre Alapetite##Ignace TC Hooge##Marcus Nyström##Richard Andersson##David MacKay##Georgios N. Yannakakis,no
Claudio Canizares,uwaterloo.ca,University of Waterloo,nan,no
Weiming Fu,mail.ustc.edu.cn,University of Science and Technology of China,Jiahu Qin##Wei Xing Zheng##Gao Huijun##Yang Shi##Junfeng Wu##Guodong Shi,no
Jing Zhang,vt.edu,nan,Wu Feng##Hao Wang##Heshan Lin##Xiaokui Shu##Tom Scogland##Pavan Balaji##Kaixi Hou##Da Zhang##Sarunya Pumma##Qi Lv,yes
Sridutt Bhalachandra,anl.gov,Argonne National Laboratory,Jan F. Prins##Stephen L. Olivier##Wei Wang##Barry Rountree##Tapasya Patki##Ghaleb Abdulla,no
David G. Groves,rand.org,RAND Corporation,nan,no
Jorge Saldivar,ucm.es,Complutense University of Madrid,Tanja Aitamurto##Luca Cernuzzi##Florian Daniel##Fabio Casati##Carlos Rodriguez##Gregorio Convertino##Cristhian Parra##Helene Landemore##Massimo Zancanaro##Gianluca Schiavo##Marcos Báez##Grzegorz Kowalik##Rosa Alarcon##Ahmed Cherif##Juho Salminen##Vincenzo D'Andrea,no
George Thanos,aueb.gr,Athens University of Economics and Business,Marilena Minou##Tanuja Ganu##Tri Kurniawan Wijaya##Costas Courcoubetis##Deva P. Seetharam##Vikas Chandan##Dipanjan Chakraborty##George Xylomenos##Mohit Jain##Jan van Deventer##Matteo Vasirani##Evangelos Markakis,no
Alan S Abrahams,vt.edu,Virginia Tech,Weiguo Fan Patrick Fan##Alan Wang 王刚##Richard Gruss##David Eyers##Ragsdale C*##David M. Goldberg##Peter Ractham##Reza Barkhi##eloise coupey##Nohel Zaman##Eojina Kim##Johnathon Ehsani##Harry J. Wang##Sumali Conlon##Carina De Villiers##Milad Baghersad##Daniel Fleder##Linda Wallace##Gnana Bharathy##Juthamon Sithipolvanichgul,yes
Mahdi Eftekhari,uk.ac.ir,Shahid Bahonar University of Kerman,Mohammad K. Ebrahimpour##Farhad Rahdari##Farid Saberi-Movahed##Javad Rahimipour Anaraki##Shima Kamyab##Hossein Nezamabadi-pour##Mehrdad Hosseinzadeh##Mohammad  Hossein Bagheripour##Mojtaba Asadi##Soheila Barchinezhad##Dr. Ali Mohebbi##Hossein Kaydani##Ali Esmailizadeh##Chang Wook Ahn##Mehran Amiri##Kamilia Ahmadi PhD##Nicholas S. Flann##Mansoor Zolghadri Jahromi##hojjat Moayed,yes
Orhan Firat,google.com,Google,nan,yes
Matthew S Johannes,outrider.ai,nan,Kapil Katyal##Brock Wester##Robert L. Clark Jr.##Matthew Para##Matthew Fifer##Robert S Armiger##Guy Hotson##David P McMullen##Nathan E. Crone M.D.##R. Jacob Vogelstein,no
Lixia Yang,ryerson.ca,Ryerson University,nan,no
Rui Zhang PhD MS,umn.edu,University of Minnesota,nan,no
Qiang Ji,ecse.rpi.edu,RPI,shangfei wang##Zhiwei Zhu##Xiaoyang Wang##Zach Wang##Robert M. Haralick##Baoyuan Wu##Bao-Gang Hu / 胡包钢##Siqi Nie##Peng Wang##Lijun Yin##Yongqiang Li##Anthony Hoogs##Antonio Torralba##Mubarak Shah##Gerwin Schalk##Dan Witzner Hansen##Larry Davis##Naresh Cuntoor##Deva Ramanan##Amit K. Roy-Chowdhury,yes
Tamás György Tarján,kkk.bgf.hu,nan,nan,no
Claire Raftery,nso.edu,nan,nan,no
Stephen Tu,google.com,Google,nan,no
Zhang Xu,email.wm.edu,College of william and mary,Haining Wang##Zhenyu Wu##Junghwan "John" Rhee##Xusheng Xiao##Zichen Xu##Xiaorui Wang##Zichen Xu,no
Andrea Charão,inf.ufsm.br,Federal University of Santa Maria,nan,no
Evangelos Markakis,aueb.gr,Athens University of Economics and Business,Amin Saberi##Aranyak Mehta##Edith Elkind##Georgios Chalkiadakis##Nick Jennings##Krzysztof R. Apt##Mohammad Mahdian##Vijay Vazirani##Svetlana Obraztsova##Georgios Amanatidis##Jeffrey S. Rosenschein##Maria Polukarov##Georgios Birmpas##Ariel Procaccia##Yoram Bachrach##Michail G. Lagoudakis##Pinar Keskinocak##David Kempe##Sven Koenig##Adam Meyerson,no
Oliver Stegle,dkfz.de,German Cancer Research Center,John Marioni##Karsten Borgwardt##Christoph Lippert##Wolf Reik##Francesco Paolo Casale##Sarah A. Teichmann##Marc Jan Bonder##Leopold Parts##Gunnar Rätsch##Richard Durbin##Detlef Weigel##Ricard Argelaguet##John Winn##Stephen Clark##Neil D. Lawrence##Richard Mott##Bernhard Schölkopf##Magnus Nordborg##Ewan Birney##David MacKay,no
Syed Babar Jamal,numspak.edu.pk,nan,Sandeep Tiwari##Vasco Ariston de Carvalho Azevedo##Debmalya Barh##Preetam Ghosh##Artur Luiz da Costa da Silva##Dr. Abdul Wadood##Siomar de Castro Soares##Henrique César Pereira Figueiredo##Adrian Turjanski##Rafaela Salgado Ferreira##Leandro Benevides##Dr. Muhammad Athar Abbasi##MASAUD SHAH##Vinicius Augusto Carvalho de Abreu##Leandro Radusky##Diego Mariano##Neha Jain##Dr. Arshad Islam PhD##Amjad Ali##Sintia Almeida,no
Zichao Yang,cs.cmu.edu,Carnegie Mellon University,Zhiting Hu##Alex Smola##Eric Xing##Xiaodong He (何晓冬)##Ruslan Salakhutdinov##Chris Dyer##Diyi Yang##Li Deng##Jianfeng Gao##Le Song,yes
Maryam Aminian,gwu.edu,George Washington University,Mona Diab##Mohammad Sadegh Rasooli##Mohamed Al-Badrashiny##Nizar Habash##Wael Salloum##Mohammed Attia##Ramy Eskander##Heba Elfardy##Pradeep Dasigi##Abdelati Hawwari##Mahmoud Ghoneim##Hossein Sameti,yes
Jinqiang Cui,u.nus.edu,National University of Singapore,Ben M. Chen##Shupeng Lai##Feng Lin##Xiangxu Dong##Swee King Phang##Kun LI##Fang Liao##Rodney Teo##Peidong Liu##Hailong Qin##Shiyu Zhao##Ryan Chisholm##Mingjie Lao##Honglong Chang##Jiaxin Li##Yingcai Bi##Mo Shan,no
Ignacio Manuel Pérez-Ramos,irnase.csic.es,CSIC,nan,no
Richard F. Helm,vt.edu,Virginia Tech,John Ralph##Sherry Hildreth##Stéphane Quideau##Naren Ramakrishnan##Brenda S.J. Winkel##Birgit E. Scharf##Chul Park##Zhentian Lei##David L. Popham##Zebo Huang##Pablo Sobrado##Florian Schubot,no
Stacie Petter,baylor.edu,Baylor University,Ephraim McLean##Arun Rai##Vijay Vaishnavi##Detmar Straub##Michelle Carter##Adriane B. Randolph##Lorraine Lee##Kai R. Larsen##Ann Fruhling##Deepak Khazanchi##Connie S. Barber##Mike Gallivan##J.J. Po-An Hsieh##Kerry W. Ward##Alexander Benlian##Guido Schryen##Shirley Gregor##Matt Germonprez##Lars Mathiassen##Alanah Mitchell,no
Andrew Rambaut,ed.ac.uk,University of Edinburgh,Alexei J. Drummond##Marc A. Suchard##Oliver Pybus##Philippe Lemey##Edward C Holmes##Guy Baele##Beth Shapiro##Kristian G Andersen##Trevor Bedford##Samantha Lycett##Nuno Rodrigues Faria##David L Robertson##Martha Nelson##Paul Kellam##Simon Ho##Tommy Tsan-Yuk Lam##Filip Bielejec##Luiz Max Carvalho##Jayna Raghwani##Daniel L. Ayres,no
Ali Jaoua,qu.edu.qa,Qatar University,Samir Elloumi##Sadok Ben Ben Yahia##Ali Mili##Jihad Mohamad AL JAAM##Marcelo F. Frias##Somaya Al-maadeed##Abdelâali Hassaïne##Gautam Das##Nejib Zaguia##Amr Mohamed##Nasredine Semmar##Fairouz Tchier##Alaa Awad Abdellatif##chiraz latiri##Nafi Diallo##Helmi Hammami##khedija AROUR BOUABID##Nazareno Aguirre##Ali Karime PhD P.Eng##Faisal Alvi,no
Carl Erik Moe,uia.no,nan,Mike Newman##Maung Sein##Tero Päivärinta,no
James Brotherston,ucl.ac.uk,University College London,Nikos Gorogiannis##Reuben N. S. Rowe##Rasmus Lerchedahl Petersen##Alex Simpson##Jules Villard##Richard Bornat##Carsten Fuhs##Juan Antonio Navarro Pérez##Dino Distefano##Rajeev Gore##Alexei Lisitsa##Michael Fisher##Paul Brunet##Aquinas Hobor##John Wickerson,no
Deniz Yuret,ku.edu.tr,Koc University Istanbul,Boris Katz##Ergun Biçici##Preslav Nakov##Jimmy Lin##Vivi Nastase##Mehmet Ali Yatbaz##Sebastian Riedel##Stanislaw Szpakowicz##Peter Turney##Joakim Nivre##Johan Hall##Kübler Sandra##Barret Zoph##Jonathan May##Volkan Cirik##Aydin Han##Attila Gursoy##Ozlem Keskin##Ferhan Ture##Yonatan Bisk,yes
Fernando Castor,cin.ufpe.br,Universidade Federal de Pernambuco,Cecilia M.F. Rubira##Gustavo Pinto##Sergio Soares##Alessandro Garcia##Nelio Cacho##Felipe Ebert##Alexander Serebrenik##Eduardo Figueiredo##Francisco Soares-Neto##Yu David Liu##Juliana Saraiva##Uirá Kulesza##Weslley Torres##Amanda S. Nascimento##Patrick H S Brito##Claudio Sant'Anna##Francisco Dantas##João Paulo Fernandes##Nicole Novielli##Rachel Burrows,no
Maurizio Mancini,di.uniroma1.it,Sapienza University of Rome,Catherine Pelachaud##Gualtiero Volpe##Radoslaw Niewiadomski##Antonio Camurri##Giovanna Varni##Christopher Edward Peters##donald glowinski##Bjoern Hartmann##Stefano Piana##Ginevra Castellano##Beatrice Biancardi##Yu Ding##Amaryllis Raouzaiou##Gijs Huisman##Isabella Poggi##George Caridakis##Kostas Karpouzis##Jean-Claude Martin##Laurence Devillers##paolo alborno,no
Nora Pashayan,ucl.ac.uk,UCL,nan,no
KV LING,ntu.edu.sg,Nanyang Technological University,nan,no
Gholamreza Vossoughi,sharif.edu,Sharif University of Technology,Ali F. Meghdari##Mohamad Taghi Ahmadian##Hassan Salarieh##Farzam Farahmand##Ali Selk Ghafari Ph.D.##Ebrahim Esmailzadeh##Avesta Goodarzi##Hodjat Pendar##Mansour Abtahi##Mohammad Reza Zakerzadeh##Mahmoud Tavakoli##Mohammad "Mehran" Motamedi##Alireza Mirbagheri##Ehsan Basafa##Mohammad Zareinejad##Miad Moarref##Mohsen Saadat##Behzad Taheri##Ehsan Rashedi##Hoseinali Borhan,no
Andreas Podelski,informatik.uni-freiburg.de,Freiburg University,nan,no
Qing Xie,auction.com,nan,Mark Grechanik##Atif Memon##Denys Poshyvanyk##Collin McMillan##Christoph Csallner##Kunal Taneja##Sangmin Park##Ishtiaque Hussain##Jason Chaw Ph.D.##Carlo Ghezzi##Chen Fu,no
Burkhard Schafer,ed.ac.uk,University of Edinburgh,nan,no
Martijn C. Willemsen,tue.nl,Eindhoven University of Technology,Bart Knijnenburg##Mark Graus##Chris Snijders##Eric J. Johnson##Michael D. Ekstrand##Joseph A. Konstan##Pasquale Lops##Giovanni Semeraro##Alexander Felfernig##Wijnand IJsselsteijn##Michael Schulte-Mecklenbeck##Alain Starke##Marco de Gemmis##F. Maxwell Harper##Gideon Keren##Heleen Rutjes##Zeno Gantner##Ulf Bockenholt##Nava Tintarev##Daniel G Goldstein,no
Lijun Song,vanderbilt.edu,Vanderbilt University,Nan Lin##Philip J. Pettis##Bradley Malin##Sohee Park##Feng Hao##Zhijun Yin##Ellen Wright Clayton##Rachel Skaggs##Pei-Yun Sabrina Hsueh##Ching-Hua Chen##Jeremy L. Warner MD MS,no
Carmela Troncoso,epfl.ch,EPFL,Claudia Diaz##George Danezis##Bart Preneel##Fernando Pérez-González##Jean-Pierre Hubaux##Seda Gurses##Simon Oya##Reza Shokri##George Theodorakopoulos##Ingrid Verbauwhede##Josep Balasch##Ero Balsa##Emiliano De Cristofaro##Jean-Yves Le Boudec##Benedikt Gierlichs##Marios Isaakidis##Nikita Borisov##Prateek Mittal##Eleni Kosta##Julien Freudiger,no
Alan R Wagner,psu.edu,Penn State,Ronald C. Arkin##Paul Robinette##Wenchen Li##Zsolt Kira##Jigar Doshi##Brittany A. Duncan##Donald Sofge##J. Gregory Trafton Greg Trafton##Willy Barnett,yes
Ryan Roth,google.com,Google,Nizar Habash##Owen Rambow##Mona Diab##Nicolae C Panoiu##Ramy Eskander##Mohamed Al-Badrashiny##Cynthia Rudin##Jerry I Dadap##Mohamed Altantawy,no
Giuseppe Primiero,unimi.it,University of Milan,Franco Raimondi##Jaap Boender##Luciano Floridi##Mariarosaria Taddeo##Ravinder Barn##Taolue Chen##Neha Rungta##Vincenzo De Florio##Kelly Androutsopoulos##Marieta G. Ivanova##Florian Kammüller##Konstantinos Pouliasis##Phyllis Illari##Federica Russo,no
Arie van Deursen,tudelft.nl,Delft University of Technology,Leon Moonen##Paul Klint##Andy Zaidman##Joost Visser##Ali Mesbah##Martin Pinzger##Felienne Hermans##Magiel Bruntink##Georgios Gousios##Margaret-Anne Storey##Maurício Aniche##Rainer Koschke##Christoph Treude##Eelco Visser##Hennie Huijgens##Annibale Panichella##Michaela Greiler##Mark van den Brand##Hans-Gerhard Gross##Mozhan Soltani,yes
Juthamon Sithipolvanichgul,tbs.tu.ac.th,nan,nan,no
Reinaldo José da Silva,unesp.br,São Paulo State University,Robson Ávila##Igor Paiva Ramos##Luciano Alves dos Anjos##Aline Angelina Acosta##Érica de Oliveira Penha Zica##Max Rondon Werneck##Denise Fecchio##Gianmarco Silva David##Vanda Lucia Ferreira##André Batista Nobile##Waltecio de Oliveira Almeida##Andreimar Martins Soares##Jamile Queiroz-Sousa##Luiz Eduardo Roland Tavares##Karina dos Santos Paduan##Regina Takahira##Marcos R M Fontes##Sergio Henrique Canello Schalch##Carla B. Madelaire##Fernando Ribeiro Gomes,no
Mohammad Ali Maraci,No verified email,nan,nan,yes
Prasenjit Dey,in.ibm.com,nan,nan,no
Lorraine Kisselburgh,purdue.edu,Purdue University,Brenda Berkelaar PhD##Senthil Chandrasegaran##Niklas Elmqvist##Sriram Karthik Badam##Andrew O. Brightman##Howard Zelaznik##Elizabeth Wilhoit Larson##Timothy Kuhn##Kelly Caine##Kylie Peppler##Deokgun Park##Andrew Iliadis##Tahira Reid##Ninger Zhou##Elkin Alonso Taborda##Pamela J. Wisniewski##Heather Richter Lipford##Cliff Lampe##Robert Littlefield##Michele H. Jackson,no
Muhtar Ahart,uic.edu,University of Illinois at Chicago,Ronald Cohen##Przemyslaw Dera##Panchapakesan Ganesh (twitter:@mer...##Zhigang Wu##Alexander Goncharov##Jae-Hyeon Ko##Atsushi Kyono##Aravind Asthagiri##Christopher DeVreugd##Peter Gehring##Jeff Yarger##Bjorn Mysen##Margo Staruch##Peter Finkel##Ari Benjamin##Anwar Hushur##Pierre Beck##Elissaios Stavrou,no
Ioan Raicu,cs.iit.edu,Illinois Institute of Technology,Ian T. Foster##yong zhao##Dongfang Zhao##Ke Wang##Tonglin Li##Shiyong Lu##Iman Sadooghi##Zhao Zhang##Michael Wilde##Kevin Brandstatter##Bingo Zhou##Peter Beckman##Ben Clifford##Mihael Hategan##Scott J. Krieder##Kamil Iskra##Michael K Lang##Matei Ripeanu##Xian-He Sun##Christopher Moretti,no
Aaron Courville,umontreal.ca,Université de Montréal,Yoshua Bengio##Ian Goodfellow##Mehdi Mirza##David Warde-Farley##Sherjil Ozair##Pascal Vincent##Kyunghyun Cho##Chris Pal##Bing Xu##Hugo Larochelle##Joelle Pineau##Harm de Vries##Kelvin Xu##Nicolas Ballas##Alessandro Sordoni##Vincent Dumoulin##Sai Rajeswar##Florian STRUB##Jean Pouget-Abadie##Dumitru Erhan,yes
Linwei Zheng,connect.ust.hk,Hong Kong University of Science and Technology,nan,no
Ahmet Uyar,iu.edu,Indiana University,nan,no
Luca Sterpone,polito.it,Politecnico di Torino,Massimo Violante##Matteo SONZA REORDA##Sarah Azimi##Fernanda Lima Kastensmidt##ALESSANDRO PACCAGNELLA##Luigi Carro##Paolo Rech##L Entrena##Mario Porrmann##Boyang Du,no
john wilkes,e-wilkes.com,nan,Arif Merchant##Kimberly Keeton##Chris Ruemmler##Joseph Hellerstein##Carl Staelin##Walfredo Cirne##Julie Ward Drew##Xiaohui (Helen) Gu (顾晓晖）##Charles Reiss##Theodore M. Wong##Greg Ganger##Abhishek Verma##Madhukar Korupolu##Eric Brewer##Zhiming Shen##Sethuraman Subbiah##Andy Konwinski##Jared Saia##Anna R. Karlin##Jason Hartline,no
